number,value,datetime_start,datetime_complete,duration,params_Kd_excite,params_Kd_inhib,params_Ki_excite,params_Ki_inhib,params_Kp_excite,params_Kp_inhib,state
0,6.806432532347495,2025-02-23 16:54:23.944922,2025-02-23 16:55:28.998421,0 days 00:01:05.053499,1.0,127.74030597908137,1.0,7.824904349790201,1.0,13.853677458027791,COMPLETE
1,1.6922521075873127,2025-02-23 16:55:29.029421,2025-02-23 16:55:46.097890,0 days 00:00:17.068469,1.0,53.91330018511842,1.0,14.679729887024607,1.0,4.690371501374579,COMPLETE
2,1.8280691823899389,2025-02-23 16:55:46.123894,2025-02-23 16:56:03.198029,0 days 00:00:17.074135,1.0,107.19259469696432,1.0,3.383043984370023,1.0,1.464620800588801,COMPLETE
3,4.386683861459104,2025-02-23 16:56:03.224029,2025-02-23 16:56:20.297237,0 days 00:00:17.073208,1.0,180.53309913973968,1.0,2.4553824371731983,1.0,7.9368341909695035,COMPLETE
4,3.690200501253125,2025-02-23 16:56:20.321235,2025-02-23 16:56:37.381898,0 days 00:00:17.060663,1.0,53.76639755833092,1.0,3.903450467222488,1.0,1.1214340636566027,COMPLETE
5,4.819462184873946,2025-02-23 16:56:37.409897,2025-02-23 16:56:54.482122,0 days 00:00:17.072225,1.0,106.5740140983481,1.0,1.0156975098669492,1.0,11.406703923952547,COMPLETE
6,6.734658031088098,2025-02-23 16:56:54.509123,2025-02-23 16:57:11.574591,0 days 00:00:17.065468,1.0,104.61619839274033,1.0,1.3453077470362096,1.0,1.0449478509299672,COMPLETE
7,3.503351458230363,2025-02-23 16:57:11.600850,2025-02-23 16:57:28.673827,0 days 00:00:17.072977,1.0,51.75093868345366,1.0,1.002868144722276,1.0,16.950350208725148,COMPLETE
8,5.272212953876353,2025-02-23 16:57:28.700827,2025-02-23 16:57:45.771788,0 days 00:00:17.070961,1.0,108.30392340240428,1.0,2.141918768701569,1.0,13.642306027067736,COMPLETE
9,3.5944808743169427,2025-02-23 16:57:45.798787,2025-02-23 16:58:02.872502,0 days 00:00:17.073715,1.0,106.09465446444058,1.0,11.440896408777723,1.0,18.94866745838586,COMPLETE
10,8.80038461538461,2025-02-23 16:58:02.899499,2025-02-23 16:58:19.981811,0 days 00:00:17.082312,1.0,71.95504356674556,1.0,17.71281498749873,1.0,3.032513429127647,COMPLETE
11,13.62988896599583,2025-02-23 16:58:20.007812,2025-02-23 16:58:37.078815,0 days 00:00:17.071003,1.0,237.61297519255874,1.0,4.324493989911208,1.0,3.3202437610607154,COMPLETE
12,1.7410260972716587,2025-02-23 16:58:37.105815,2025-02-23 16:58:54.188008,0 days 00:00:17.082193,1.0,68.65297328762102,1.0,9.249082787404927,1.0,1.7912104722770457,COMPLETE
13,3.576747763864042,2025-02-23 16:58:54.211008,2025-02-23 16:59:11.290005,0 days 00:00:17.078997,1.0,72.41763669131362,1.0,7.889599518379692,1.0,5.594472425428528,COMPLETE
14,4.488245760355846,2025-02-23 16:59:11.319005,2025-02-23 16:59:28.393268,0 days 00:00:17.074263,1.0,68.53199203430226,1.0,19.78256337474816,1.0,2.34644948674995,COMPLETE
15,12.837542158515989,2025-02-23 16:59:28.418270,2025-02-23 16:59:45.492398,0 days 00:00:17.074128,1.0,60.25305602446305,1.0,8.089262339218164,1.0,1.8974680158039852,COMPLETE
16,22.035995288574775,2025-02-23 16:59:45.518397,2025-02-23 17:00:02.595160,0 days 00:00:17.076763,1.0,83.63492358490642,1.0,11.883842644764009,1.0,6.039592597006928,COMPLETE
17,8.931165385569171,2025-02-23 17:00:02.622161,2025-02-23 17:00:19.698261,0 days 00:00:17.076100,1.0,83.39681356530399,1.0,12.555530817529375,1.0,4.356721971610588,COMPLETE
18,6.689907338769453,2025-02-23 17:00:19.725261,2025-02-23 17:00:36.800720,0 days 00:00:17.075459,1.0,61.28129436332758,1.0,5.7342732661156885,1.0,3.7605683939019965,COMPLETE
